福山润/阿澄佳奈/藤田咲/小野大辅/喜多村英梨/神谷浩史/渡辺久美子,1037590/1257566/1030486/1045785/1276137/1274377/*
福山润/阿澄佳奈/藤田咲/喜多村英梨/渡边久美子/小野大辅/神谷浩史/中村悠一/广桥凉,1037590/1257566/1030486/1276137/1029309/1045785/1274377/1274454/1207422
福山润/阿澄佳奈/藤田咲/喜多村英梨/小野大辅/神谷浩史/渡边久美子/广桥凉,1037590/1257566/1030486/1276137/1045785/1274377/1029309/1207422
詹姆斯·麦卡沃伊/文森特·卡索/罗莎里奥·道森/丹尼·萨帕尼/塔彭丝·米德尔顿/马特·克洛丝,1006958/1036377/1044717/1143809/1265872/1267912
盖博·纳文斯/劳伦·麦克金妮/泰勒·摩森/丹尼尔·刘/Jake Miller,1312933/1315710/1025140/1313797/*
克里斯·高瑟/Scott Hylands/Marilyn Norry,1007123/*/*
马特·狄龙/凯莉·林奇/詹姆斯·勒格罗/海瑟·格拉汉姆,1004583/1055683/1055191/1048022
詹姆斯·福克斯/米克·贾格尔/安妮塔·帕里博格/Michèle Breton/Billy Murray,1080877/1022731/1004910/*/*
詹姆斯·斯图尔特/金·诺瓦克/芭芭拉·贝尔·戈迪斯/汤姆·赫尔莫,1048136/1004694/1040768/1091874
Peter Cook/Dudley Moore/Eleanor Bron,*/*/*
斯坦尼斯拉斯·莫哈/西尔维·泰斯蒂/奥利维亚·波纳梅,1004805/1014218/1050177
酒井広大/相坂优歌/八代拓/佐仓薰/铃木达央/五十岚裕美/清水彩香/加隈亚衣/多田此乃美/长谷川芳明/三好晃祐/高桥伸也/鸣海和希/堀江瞬/稻川英里/Lynn/中村樱/间岛淳司/阿部敦/新垣樽助/天崎滉平/汤浅枫/千本木彩花/仲谷明香/杉浦诗织/三上哲,*/1343629/*/*/1274746/*/*/1347637/*/*/*/*/*/*/*/*/*/1312929/1275945/1334754/*/*/*/*/*/*
Leonardo Brzezicki,*
张曼玉/让-皮埃尔·利奥德/娜塔莉·理查德/Arsinée Khanjian/娜塔莉·布伏,1274231/1022553/1313111/1050122/1321905
查尔斯·艾德曼/Luci-Lynn Norris,1059115/*
罗德·瑟林,1014051
Patricia Gozzi/Melvyn Douglas/Dean Stockwell,*/*/*
卢卡斯·提尔/莎拉·伯格/克里斯塔尔·里德/霍特·麦克卡兰尼/艾赛亚·穆斯塔法/司徒少英/卡蜜尔·古阿蒂/雷·沃纳尔/迈克尔·兰德斯/梅雷迪斯·萨拉格尔/里德·尤因/克里斯汀·奎克,1022645/1031910/1315321/1118033/1328060/1022681/1009384/1014029/1049724/1055152/1315826/1202285
特洛伊·格雷提/李·佩斯/安德鲁·布劳尔/肖恩·海托西,1009434/1018975/1009380/1013815
Wadeck Stanczak/安-吉赛尔·格拉斯/卢卡斯·贝尔沃克斯,*/1019460/1041649
井口裕香/日野聪/喜多村英梨/花泽香菜/伊濑茉莉也/阿澄佳奈,1274751/1023936/1276137/1034028/1275190/1257566
成龙/林青霞/王羽/郑少秋/张玲/张冲/乾德门 Tak-Mun Kon/陈鸿型/李昆/金帝,1054531/*/*/1033184/*/*/*/*/*/*
Jack MacGowran/简·伯金/艾琳·汉铎/理查德·沃迪斯/Iain Quarrier/Beatrix Lehmann/Bee Duffell,1118141/1036641/1100343/1032716/1001037/1114061/1089304
鲍勃·吉尔道夫/Christine Hargreaves/James Laurenson/埃里诺·大卫/Kevin McKeon/鲍勃·霍斯金斯/David Bingham/珍妮·赖特/Alex McAvoy/Ellis Dale/James Hazeldine/Ray Mort/Margery Mason/Robert Bridges/迈克尔·英塞恩,1027442/1102316/1007220/1014341/*/1041156/*/1168518/1116807/*/1097680/*/1125641/1077218/1086016
Roger Waters/Scorpions、Sinéad O'Connor、Van Morrison、Bryan Adams,*/*
Dorothy McGuire/Robert Young/Herbert Marshall,*/*/*
克里夫·罗伯逊/詹妮薇芙·布卓/约翰·利特高,1049774/1009438/1027824
瑞切尔·布莱克/萨曼莎·邦德/斯图尔特·邦斯/鲁珀特·格雷夫斯/约翰尼·哈里斯/戴维·里昂/詹姆斯·维尔拜/卢克·崔德威/约瑟夫·马勒/保罗·尼科尔斯/汤姆·比尔德/James Bellamy/Robin Berry/Philip Childs/Jason Frederick/Richard Freeman/斯蒂芬·哈根/杰佛逊·豪尔/Francis Lee,1278756/1036670/1071259/1009379/1314880/1274988/1032304/1049964/1000336/1000474/1321395/*/*/*/*/*/1315210/1343261/*
서예리/손용팔/윤보리,*/*/*
梁冠华/何伟/周虹/陈青,1275492/1316342/*/*
王葆真/孙芷君 Zhijun Sun/江毅/张铮/筱华/平凡/方辉/梁衡,1319888/*/1315140/1053348/*/1320041/*/1326906
伊琳娜·库普琴科/阿列克谢·巴塔洛夫/纳塔莉亚·邦达尔丘克/奥列格·斯特里仁诺夫/Ewa Szykulska/伊戈尔·柯斯托列夫斯基/Lev Ivanov/Raisa Kurkina/Tatiana Pankova/Oleg Yankovsky/Aleksandr Porokhovshchikov/Viktor Kostetsky/瓦西里·利瓦诺夫/因诺肯季·斯莫克图诺夫斯基/弗拉季斯拉夫·斯特尔热利奇克,1033425/1042107/1045519/1157722/1155023/1109764/*/1107726/*/*/1132804/*/1012669/1158558/1156179
杨逸韬/屈小淳/高爽/李洋/游越,*/*/*/*/*
Matthew Fox/Emilie de Ravin/Terry O' Quinn/Malcolm David Kelley/Michael Emerson,*/*/*/*/*
马修·福克斯/伊万杰琳·莉莉/乔什·哈洛威/迈克尔·爱默生/特瑞·欧奎恩,1009255/1021963/1010534/1049520/1010544
纳威恩·安德利维斯/马修·福克斯/豪尔赫·加西亚/乔什·哈洛威/金允珍/伊万杰琳·莉莉/特瑞·欧奎恩/迈克尔·爱默生/伊丽莎白·米切尔,1013779/1009255/1044884/1010534/1102505/1021963/1010544/1049520/1000017
马修·福克斯/乔什·哈洛威/伊万杰琳·莉莉/纳威恩·安德利维斯/迈克尔·爱默生/金允珍,1009255/1010534/1021963/1013779/1049520/1102505
阿德沃尔·阿吉纽依-艾格拜吉/纳威恩·安德利维斯/亨利·伊安·库斯克/迈克尔·爱默生,1060757/1013779/1000029/1049520
马修·福克斯/豪尔赫·加西亚/丹尼尔·金/乔什·哈洛威/伊万杰琳·莉莉/多米尼克·莫纳汉/哈罗德·佩里诺/玛姬·格蕾斯/艾米莉·德瑞文/特瑞·欧奎恩/纳威恩·安德利维斯/伊恩·萨默海尔德/金允珍,1009255/1044884/1022618/1010534/1021963/1036320/1130099/1049497/1012477/1010544/1013779/1016667/1102505
严志媛/孔晓振/金熙元/朴海俊/金善英,1015178/1202195/1321571/1337809/1337202
杰克·奥康奈尔/保罗·安德森/西恩·哈里斯/萨姆·里德/夏莉·墨菲/Valene Kane/山姆·哈兹尔丁/大卫·威尔莫特/Killian Scott/保罗·帕波维尔/理查德·多默/本·皮尔/马丁·麦凯恩/Gerard Jordan/杰克·劳登,1022761/1317404/1286119/1326598/1329188/*/1332704/1301030/*/1317389/1089154/1333953/1009371/*/1344553
查理·汉纳姆/罗伯特·帕丁森/西耶娜·米勒/汤姆·霍兰德/爱德华·阿什利/安古斯·麦克菲登/伊恩·麦克迪阿梅德/克莱夫·弗朗西斯/马修·桑德兰/亚历山大·约瓦诺维奇/叶莲娜·索洛维/鲍比·斯莫德里奇,1000024/1035656/1003485/1325351/1329414/1049554/1022714/1080765/1298657/1113359/1160499/1360409
Jemima Rooper/Alex Kingston/Hugh Bonneville/Tom Riley,*/*/*/*
艾伯特·布鲁克斯/Julie Hagerty/Sylvia Farrel,1010594/*/*
斯嘉丽·约翰逊/比尔·默瑞/吉奥瓦尼·瑞比西/竹下明子/安娜·法瑞丝/凯瑟琳·兰伯特,1054453/1054508/1036317/1018812/1041008/1344563
Ladislava Nováková/Petr Trnka,*/*
矢作穗香/佐藤堇/松冈茉优/高嶋香帆/中山绘梨奈/大石悠馬/古泉葵,1275357/1318743/1320978/1332918/1348437/*/*
露易丝·布鲁克斯/André Roanne/Josef Rovenský,1040869/1052293/1003733
海瑟·格拉汉姆/威廉·赫特/米密·罗杰斯/杰克·约翰逊/莱西·沙伯特/加里·奥德曼/马特·勒布朗,1048022/1031849/1004622/1112332/1027157/1010507/1013783
彼得·塞勒斯/歌蒂·韩,1049593/1041107
彼得·方达/苏珊·斯塔丝伯格/布鲁斯·邓恩/丹尼斯·霍珀/Salli Sachse,1031935/1019159/1019069/1044720/1138737
陈娟娟/殷秀岑/黎灼灼/郑君里/刘琼/葛佐治,1319537/1322836/1322883/1039832/1030875/1334512
陈佩斯/李小力/高宝宝/路希,1280571/1334953/1314440/1317972
天海祐希/金城武/丰川悦司/邓肯/小日向文世/六平直政/根岸季衣/筱井英介/小西杏奈,1059553/1027883/1032989/1015088/1009219/1003638/1008299/1316962/1333652
托马斯·简/马西娅·盖伊·哈登/劳瑞·侯登/安德鲁·布劳尔/托比·琼斯/威廉姆·赛德勒/内森·甘宝,1031816/1025195/1036452/1009380/1107884/1000095/1014079
阿丽莎·萨瑟兰/霍丽·迪威奥克斯/格斯·伯尼/卢克·科斯格罗夫/小伊塞亚·维特洛克/罗曼·韦特/比尔·卡尔/Nabeel El Khafif/格雷格·霍瓦尼西安/戴维·Wm·马什/弗兰西丝·康罗伊/摩根.斯佩克特/丹·巴特勒/达伦·佩蒂/迪兰·奥瑟斯,1340334/1328603/1376186/1376090/1166193/1376187/1376188/1376189/1376190/1376191/1040622/1340763/1036687/1335094/1371668
Vyacheslav Nevinnyy/玛丽亚·维诺格拉多娃/阿列克谢·巴塔洛夫,1136599/1159339/1042107
威廉·鲍威尔/玛娜·洛伊/詹姆斯·斯图尔特,1055463/1025266/1048136
克林特·伊斯特伍德/唐娜·米尔斯/Cannonball Adderley/杰西卡·沃尔特,1054436/1056044/1057349/1007025
Gerardo Guerrieri,*
马特·达蒙/奥斯卡·伊萨克/朱丽安·摩尔/格伦·弗莱舍尔/蒂姆·聂夫/马拉·费尔克拉夫/梅根·弗格森/艾米丽·高斯/殷巴尔·阿米拉夫/杰克·康利/迈克尔·D·科恩/黛安·德恩/盖里·巴萨拉巴/斯蒂夫·蒙罗埃/诺亚·尤佩/卡特·海斯汀斯/Dash Williams/阿历克斯·哈赛尔/Karimah Westbrook/艾瑞克·奥德/托尼·埃斯皮诺萨/罗伯特·皮尔斯,1054443/1012481/1054519/1346468/1378732/1378728/1346178/1378731/1378729/1378730/1378733/1378734/1061364/1124221/1356120/1378735/1363483/1355264/1054776/1061054/1363171/1028569
查宁·塔图姆/马克·斯特朗/杰米·贝尔/唐纳德·萨瑟兰/塔哈·拉希姆/István Göz/Bence Gerö/丹尼斯·欧哈拉/Paul Ritter/若尔特·拉斯洛/Julian Lewis Jones/Aladár Laklóth,1031224/1274374/1053616/1010556/1009428/1099859/*/1013900/*/1123624/*/1170170
黄正利/元武/权永文/王将/陈楼/金军/蒋金/王憾尘/李春华/王沙,*/*/*/1328848/*/*/*/*/*/*
古天乐/余文乐/佟丽娅/张孝全/谢天华/元秋/李灿森/伍允龙/姜皓文/林子善/任达华/高捷/马浴柯/谭炳文,1027577/1041510/1275756/1014743/1010833/1304876/1028522/1316267/1317884/1314861/1031194/1276076/1327671/1317676
